Date,S&P 500,VIX
1990-01-01,339.94000244140625,19.729999542236328
1990-04-01,358.0199890136719,15.5
1990-07-01,306.04998779296875,29.110000610351562
1990-10-01,330.2200012207031,26.3799991607666
1991-01-01,375.2200012207031,16.8799991607666
1991-04-01,371.1600036621094,19.549999237060547
1991-07-01,387.8599853515625,15.850000381469727
1991-10-01,417.0899963378906,19.309999465942383
1992-01-01,403.69000244140625,16.18000030517578
1992-04-01,408.1400146484375,13.350000381469727
1992-07-01,417.79998779296875,14.279999732971191
1992-10-01,435.7099914550781,12.569999694824219
1993-01-01,451.6700134277344,12.529999732971191
1993-04-01,450.5299987792969,11.260000228881836
1993-07-01,458.92999267578125,12.989999771118164
1993-10-01,466.45001220703125,11.65999984741211
1994-01-01,445.7699890136719,20.450000762939453
1994-04-01,444.2699890136719,14.970000267028809
1994-07-01,462.7099914550781,14.279999732971191
1994-10-01,459.2699890136719,13.199999809265137
1995-01-01,500.7099914550781,13.369999885559082
1995-04-01,544.75,11.380000114440918
1995-07-01,584.4099731445312,12.739999771118164
1995-10-01,615.9299926757812,12.520000457763672
1996-01-01,645.5,18.8799991607666
1996-04-01,670.6300048828125,13.680000305175781
1996-07-01,687.3300170898438,16.950000762939453
1996-10-01,740.739990234375,20.920000076293945
1997-01-01,757.1199951171875,22.139999389648438
1997-04-01,885.1400146484375,21.530000686645508
1997-07-01,947.280029296875,22.90999984741211
1997-10-01,970.4299926757812,24.010000228881836
1998-01-01,1101.75,24.219999313354492
1998-04-01,1133.8399658203125,19.709999084472656
1998-07-01,1017.010009765625,40.95000076293945
1998-10-01,1229.22998046875,24.420000076293945
1999-01-01,1286.3699951171875,23.260000228881836
1999-04-01,1372.7099609375,21.09000015258789
1999-07-01,1282.7099609375,25.40999984741211
1999-10-01,1469.25,24.639999389648438
2000-01-01,1498.5799560546875,24.110000610351562
2000-04-01,1454.5999755859375,19.540000915527344
2000-07-01,1436.510009765625,20.56999969482422
2000-10-01,1320.280029296875,26.850000381469727
2001-01-01,1160.3299560546875,28.639999389648438
2001-04-01,1224.3800048828125,19.059999465942383
2001-07-01,1040.93994140625,31.93000030517578
2001-10-01,1148.0799560546875,23.799999237060547
2002-01-01,1147.3900146484375,17.399999618530273
2002-04-01,989.8200073242188,25.399999618530273
2002-07-01,815.280029296875,39.689998626708984
2002-10-01,879.8200073242188,28.6200008392334
2003-01-01,848.1799926757812,29.149999618530273
2003-04-01,974.5,19.520000457763672
2003-07-01,995.969970703125,22.719999313354492
2003-10-01,1111.9200439453125,18.309999465942383
2004-01-01,1126.2099609375,16.739999771118164
2004-04-01,1140.8399658203125,14.34000015258789
2004-07-01,1114.5799560546875,13.34000015258789
2004-10-01,1211.9200439453125,13.289999961853027
2005-01-01,1180.5899658203125,14.020000457763672
2005-04-01,1191.3299560546875,12.039999961853027
2005-07-01,1228.81005859375,11.920000076293945
2005-10-01,1248.2900390625,12.069999694824219
2006-01-01,1294.8699951171875,11.390000343322754
2006-04-01,1270.199951171875,13.079999923706055
2006-07-01,1335.8499755859375,11.979999542236328
2006-10-01,1418.300048828125,11.5600004196167
2007-01-01,1420.8599853515625,14.640000343322754
2007-04-01,1503.3499755859375,16.229999542236328
2007-07-01,1526.75,18.0
2007-10-01,1468.3599853515625,22.5
2008-01-01,1322.699951171875,25.610000610351562
2008-04-01,1280.0,23.950000762939453
2008-07-01,1166.3599853515625,39.38999938964844
2008-10-01,903.25,40.0
2009-01-01,797.8699951171875,44.13999938964844
2009-04-01,919.3200073242188,26.350000381469727
2009-07-01,1057.0799560546875,25.610000610351562
2009-10-01,1115.0999755859375,21.68000030517578
2010-01-01,1169.4300537109375,17.59000015258789
2010-04-01,1030.7099609375,34.540000915527344
2010-07-01,1141.199951171875,23.700000762939453
2010-10-01,1257.6400146484375,17.75
2011-01-01,1325.8299560546875,17.739999771118164
2011-04-01,1320.6400146484375,16.520000457763672
2011-07-01,1131.4200439453125,42.959999084472656
2011-10-01,1257.5999755859375,23.399999618530273
2012-01-01,1408.469970703125,15.5
2012-04-01,1362.1600341796875,17.079999923706055
2012-07-01,1440.6700439453125,15.729999542236328
2012-10-01,1426.18994140625,18.020000457763672
2013-01-01,1569.18994140625,12.699999809265137
2013-04-01,1606.280029296875,16.860000610351562
2013-07-01,1681.550048828125,16.600000381469727
2013-10-01,1848.3599853515625,13.720000267028809
2014-01-01,1872.3399658203125,13.880000114440918
2014-04-01,1960.22998046875,11.569999694824219
2014-07-01,1972.2900390625,16.309999465942383
2014-10-01,2058.89990234375,19.200000762939453
2015-01-01,2067.889892578125,15.289999961853027
2015-04-01,2063.110107421875,18.229999542236328
2015-07-01,1920.030029296875,24.5
2015-10-01,2043.93994140625,18.209999084472656
2016-01-01,2059.739990234375,13.949999809265137
2016-04-01,2098.860107421875,15.630000114440918
2016-07-01,2168.27001953125,13.289999961853027
2016-10-01,2238.830078125,14.039999961853027
2017-01-01,2362.719970703125,12.369999885559082
2017-04-01,2423.409912109375,11.180000305175781
2017-07-01,2519.360107421875,9.510000228881836
2017-10-01,2673.610107421875,11.039999961853027
2018-01-01,2640.8701171875,19.969999313354492
2018-04-01,2718.3701171875,16.09000015258789
2018-07-01,2913.97998046875,12.119999885559082
2018-10-01,2506.85009765625,25.420000076293945
2019-01-01,2834.39990234375,13.710000038146973
2019-04-01,2941.760009765625,15.079999923706055
2019-07-01,2976.739990234375,16.239999771118164
2019-10-01,3230.780029296875,13.779999732971191
2020-01-01,2584.590087890625,53.540000915527344
2020-04-01,3100.2900390625,30.43000030517578
2020-07-01,3363.0,26.3700008392334
2020-10-01,3756.070068359375,22.75
2021-01-01,3972.889892578125,19.399999618530273
2021-04-01,4297.5,15.829999923706055
2021-07-01,4307.5400390625,23.139999389648438
2021-10-01,4766.18017578125,17.219999313354492
2022-01-01,4530.41015625,20.559999465942383
2022-04-01,3785.3798828125,28.709999084472656
2022-07-01,3585.6201171875,31.6200008392334
2022-10-01,3839.5,21.670000076293945
2023-01-01,4109.31005859375,18.700000762939453
2023-04-01,4450.3798828125,17.950000762939453
2023-07-01,4288.0498046875,
2023-10-01,4769.830078125,
2024-01-01,5254.35009765625,
2024-04-01,5460.47998046875,
2024-07-01,5762.47998046875,
2024-10-01,5842.47021484375,
